Colours, Runs with match, Runs with no match
1,1000000,0
2,999852,148
3,999759,241
4,995566,4434
5,983047,16953
6,956565,43435
7,913750,86250
8,826591,173409
9,784259,215741
10,732650,267350
11,667463,332537
12,586047,413953
13,485028,514972
14,358891,641109
15,200176,799824
16,0,1000000
