Colours, Runs with match, Runs with no match
1,1000000,0
2,1000000,0
3,1000000,0
4,1000000,0
5,999995,5
6,999931,69
7,999588,412
8,998529,1471
9,995856,4144
10,992352,7648
11,985663,14337
12,972963,27037
13,963510,36490
14,950590,49410
15,932787,67213
16,908831,91169
17,875855,124145
18,832017,167983
19,814717,185283
20,795095,204905
21,775072,224928
22,750806,249194
23,724908,275092
24,696812,303188
25,665819,334181
26,629825,370175
27,592446,407554
28,549963,450037
29,502273,497727
30,449767,550233
31,393064,606936
32,328730,671270
33,258592,741408
34,181793,818207
35,95617,904383
36,0,1000000
