Colours, Runs with match, Runs with no match
1,1000000,0
2,1000000,0
3,1000000,0
4,1000000,0
5,1000000,0
6,1000000,0
7,1000000,0
8,1000000,0
9,1000000,0
10,999999,1
11,999997,3
12,999977,23
13,999958,42
14,999891,109
15,999765,235
16,999477,523
17,999151,849
18,998630,1370
19,997874,2126
20,996566,3434
21,995316,4684
22,993824,6176
23,991760,8240
24,989020,10980
25,985804,14196
26,980968,19032
27,974637,25363
28,971144,28856
29,967167,32833
30,962215,37785
31,956639,43361
32,950460,49540
33,942834,57166
34,935009,64991
35,924968,75032
36,913840,86160
37,901308,98692
38,886791,113209
39,869795,130205
40,850464,149536
41,836671,163329
42,828609,171391
43,820705,179295
44,812804,187196
45,804091,195909
46,794814,205186
47,785073,214927
48,775621,224379
49,765197,234803
50,754301,245699
51,743042,256958
52,731642,268358
53,718118,281882
54,705896,294104
55,691764,308236
56,677398,322602
57,664179,335821
58,647286,352714
59,631588,368412
60,614244,385756
61,596886,403114
62,578913,421087
63,557996,442004
64,538150,461850
65,515499,484501
66,493118,506882
67,470460,529540
68,445642,554358
69,419799,580201
70,393085,606915
71,365018,634982
72,335243,664757
73,304690,695310
74,271907,728093
75,239417,760583
76,203823,796177
77,166830,833170
78,127592,872408
79,86571,913429
80,44122,955878
81,0,1000000
