Colours, Runs with match, Runs with no match
1,1000000,0
2,1000000,0
3,1000000,0
4,1000000,0
5,1000000,0
6,1000000,0
7,999994,6
8,999934,66
9,999767,233
10,999278,722
11,998451,1549
12,996684,3316
13,994381,5619
14,991083,8917
15,985745,14255
16,977474,22526
17,969594,30406
18,961850,38150
19,952426,47574
20,940128,59872
21,925339,74661
22,906285,93715
23,882066,117934
24,852320,147680
25,829279,170721
26,816164,183836
27,802035,197965
28,786408,213592
29,770452,229548
30,753666,246334
31,734273,265727
32,714042,285958
33,692936,307064
34,668475,331525
35,644027,355973
36,617181,382819
37,587453,412547
38,555964,444036
39,522061,477939
40,485540,514460
41,446266,553734
42,403415,596585
43,359007,640993
44,308772,691228
45,256535,743465
46,199029,800971
47,137796,862204
48,71241,928759
49,0,1000000
